MEA_UPD.ABS_PRES,MEA_UPD.FG_TEMP,MEA_UPD.FLASH_TEMP,MEA_UPD.GASABSIN,MEA_UPD.GASINCO2FRXN,MEA_UPD.GASINH2OFRXN,MEA_UPD.GASINN2FRXN,MEA_UPD.GASINO2FRXN,MEA_UPD.LS_PRES,MEA_UPD.LS_TEMP,MEA_UPD.P-1_FLOW,MEA_UPD.P-1_TEMP,MEA_UPD.P-2_FLOW,MEA_UPD.P-2_TEMP,MEA_UPD.SOLVENTABSIN,MEA_UPD.STRIP_PRES,MEA_UPD.VLE1,MEA_UPD.VLE2,MEA_UPD.VLE3,MEA_UPD.VLE4,MEA_UPD.VLE5,MEA_UPD.VLE6,MEA_UPD.VLE7,MEA_UPD.VLE8,MEA_UPD.VLE9,X_SOLVENT_CALC.AMINECONC,X_SOLVENT_CALC.CO2LOADING
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190319400,-491400800,-327096100,-694735900,29.13253,-7772.105,4.279928,2.478776,-1098.438,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190687400,-493756100,-325219200,-692511300,28.95669,-7880.511,3.02622,6.138089,-2458.962,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-189734200,-491494200,-330522100,-685872300,29.68915,-7978.386,4.020821,1.193591,-1801.539,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191559600,-492557200,-324854100,-686068700,27.69985,-7540.115,2.751658,3.183258,-2159.99,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190491600,-492983300,-327194000,-688674400,28.45634,-7695.184,2.941655,2.514424,-1655.415,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191389200,-491282100,-323980700,-694054200,28.8694,-7799.499,3.73631,3.666537,-1189.66,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190723900,-491467700,-325967000,-693332200,28.80249,-7753.018,2.611318,6.924978,-3418.684,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191330300,-491329600,-327544400,-695134000,29.31455,-7918.795,4.640572,2.180565,-2211.272,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191242000,-492844400,-329721600,-692344500,28.16584,-7591.31,3.383264,2.639058,-1577.127,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191579700,-492402500,-325517900,-697672800,29.82506,-8179.398,3.923899,6.107202,-2443.317,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191545200,-490760100,-335665200,-696543100,29.09383,-7737.876,3.909645,2.182016,-1613.553,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190991200,-491245800,-330794700,-696012900,29.86106,-8078.999,4.477022,4.449675,-3267.473,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191117800,-491595300,-323533400,-697718600,29.70143,-8032.174,3.997602,2.641806,-1148.605,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191421400,-491653200,-330750100,-698565500,29.83309,-8057.905,2.408842,2.466754,-1084.929,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190655300,-491112100,-325654500,-696319000,29.83909,-8036.777,2.575071,2.165333,-1076.626,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191250300,-492854900,-328422800,-694076200,28.43206,-7698.532,2.144182,6.148946,-3312.435,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190035800,-492137000,-331563900,-682540200,28.44872,-7631.54,3.47946,1.413571,-1932.251,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190995100,-493034400,-323186100,-696852800,28.38162,-7739.678,3.461232,4.050786,-2340.698,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-190839300,-492027800,-332107600,-692001200,29.79213,-8077.579,2.380917,3.959464,-2320.641,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191581600,-493583000,-325122300,-694315100,28.37809,-7789.63,3.132965,1.987564,-2573.354,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191503300,-491852500,-324047500,-693630500,29.27191,-7961.296,2.877615,4.651282,-1668.261,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191379600,-491763700,-331292100,-684996400,29.2358,-7992.704,4.018885,3.051877,-2364.411,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191362600,-493257900,-323984600,-691704100,28.73874,-7908.005,2.601684,1.599036,-1140.488,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191268500,-491754900,-327257200,-694907500,29.73892,-8092.966,2.443892,2.326477,-1233.431,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191115400,-492190200,-331124900,-695655900,29.51046,-7995.691,4.136135,5.486382,-3259.855,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-189692800,-492124500,-322982400,-696988700,29.91189,-8108.901,4.002557,4.760646,-2600.389,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191575400,-493206100,-324453400,-690233900,28.63536,-7895.431,2.895818,2.029797,-1196.424,0.3,0.17036
108.82,42.48,104.81,2266.1,0.17314,0.04623,0.71165,0.06898,245.94,40.97,1.00E-05,40.13,1.00E-05,43.32,6803.7,183.87,-191523100,-491516500,-324331700,-688047900,28.35642,-7659.954,2.756605,3.945308,-1855.139,0.3,0.17036
