,0,1,2,3,4,5
0,770.8773,-874.4314,-261.05432,-228.90572,-131.92918,614.3173
1,816.8847,-927.9707,-294.15442,-277.31323,-147.60168,657.40497
2,827.8799,-939.08154,-280.26596,-245.64766,-141.64275,659.7095
3,833.11194,-945.1262,-283.4617,-250.02519,-143.172,664.40106
4,864.3997,-980.8662,-297.301,-265.7483,-149.97017,690.5239
5,711.33923,-806.93256,-241.3391,-212.1152,-121.9398,567.0348
6,981.5561,-1057.9387,-383.19305,-385.6799,-164.5594,859.60565
7,1022.432,-1151.1028,-350.84558,-311.73416,-173.07173,825.39746
8,853.33167,-968.849,-300.50433,-276.24915,-151.17082,684.25256
9,731.3112,-831.28595,-270.09467,-261.66245,-135.14795,591.01447
10,966.87897,-1097.6057,-338.46033,-308.97775,-170.38057,774.5575
11,873.4325,-937.65247,-344.0018,-348.74942,-146.03064,769.9672
12,809.8626,-917.3791,-270.5517,-233.02466,-136.51878,645.0028
13,921.11847,-1009.1136,-342.58633,-330.12775,-154.58197,782.9936
14,974.21533,-1073.5865,-356.90842,-339.13266,-164.02452,819.48364
15,925.4884,-953.7595,-404.5619,-444.2761,-153.77304,872.97003
16,928.70483,-1041.5311,-322.1009,-289.46432,-156.83658,755.25714
17,891.9018,-1012.10126,-307.12964,-274.93567,-154.9058,712.6295
18,879.6826,-932.2414,-359.12958,-374.92838,-146.97182,793.0847
19,842.36316,-896.6071,-338.7574,-349.30917,-140.34013,753.2899
20,824.1685,-924.2622,-284.52637,-254.27711,-138.62593,669.6963
21,704.493,-799.5479,-243.94997,-219.8589,-122.96267,563.38635
22,969.79425,-1100.8131,-338.15985,-307.28937,-170.3062,776.40857
23,845.69434,-917.6736,-323.06036,-318.9685,-141.5686,731.3798
24,826.1764,-937.977,-290.4005,-266.38602,-146.11975,662.2794
25,903.4318,-1025.3086,-312.70447,-281.6716,-157.62242,722.4303
26,1033.964,-1150.5782,-368.17706,-340.17972,-174.60318,854.0014
27,1033.5028,-1144.2047,-373.73584,-350.68698,-174.31024,861.956
28,921.33606,-1044.9642,-310.3186,-270.2303,-156.92493,733.60034
29,780.01984,-885.004,-266.7703,-236.81633,-134.66003,622.56366
30,857.9081,-973.579,-296.08972,-265.7786,-149.29872,685.7126
31,854.5099,-969.65607,-294.0529,-263.01236,-148.32277,682.67975
32,814.2485,-925.1634,-295.62854,-281.22473,-148.20424,656.172
33,1072.1599,-1216.4923,-367.22507,-326.5749,-185.33023,855.93115
34,875.42737,-992.71826,-292.5405,-252.17424,-148.07547,696.1972
35,799.54865,-907.7888,-281.58203,-258.8746,-141.65164,641.13245
36,747.04114,-848.0717,-261.74936,-239.21652,-131.75316,598.5366
37,758.27893,-860.5079,-261.5328,-234.5758,-131.88562,606.01733
38,1017.1832,-1153.6498,-342.35306,-297.84744,-173.13806,809.8265
39,994.6473,-1128.3412,-338.00345,-297.66586,-170.74274,793.07086
40,880.5106,-946.0259,-346.37576,-350.84335,-147.38359,775.2563
41,859.62866,-950.49524,-310.8982,-291.6358,-144.46931,718.16394
42,747.4842,-848.07477,-255.4355,-226.52802,-128.95137,596.51965
43,1057.84,-1199.8759,-357.5424,-312.7373,-180.72807,842.74725
44,871.77704,-988.8051,-294.24744,-256.92758,-148.76105,694.3673
45,873.4238,-979.2691,-302.5343,-271.42892,-147.22261,710.3907
46,854.1584,-969.57367,-298.02753,-271.027,-150.08502,683.9006
47,939.237,-1066.2069,-328.51822,-299.61783,-165.3916,752.3162
48,934.04095,-1060.4451,-328.465,-301.45935,-165.26208,748.80115
49,1001.73145,-1135.5392,-335.82556,-290.63864,-169.7054,797.5168
50,771.3145,-875.57654,-269.605,-245.70067,-135.74469,617.7467
51,915.6929,-1039.2498,-317.29022,-286.1719,-159.91362,732.3602
52,946.7799,-1055.3053,-334.93204,-307.34387,-159.74005,779.29346
53,814.38055,-924.21954,-281.51956,-253.19258,-141.9259,651.0876
54,992.43054,-1126.1783,-341.8041,-306.03445,-172.38956,792.97314
55,899.5594,-908.0989,-426.11224,-494.69345,-154.68785,881.82904
56,909.1474,-943.45526,-391.30978,-425.08524,-151.41048,848.3816
57,810.4825,-920.9363,-294.93042,-281.2514,-147.81674,653.3825
58,768.2371,-871.60046,-262.2805,-232.32693,-132.42128,612.9908
59,985.3747,-1117.521,-330.95038,-287.1521,-167.414,784.2467
60,735.5241,-835.6134,-265.6822,-251.3324,-133.26941,592.2307
61,788.066,-895.4426,-286.47293,-272.87775,-143.59511,635.201
62,1045.0642,-1185.965,-360.727,-323.84082,-181.88559,835.32025
63,828.0107,-938.9937,-277.25534,-239.62762,-140.30515,658.69354
64,967.1813,-1097.5544,-333.46088,-298.94897,-168.16109,772.92773
65,923.57886,-1048.2667,-320.8938,-290.36383,-161.67847,738.98676
66,733.4438,-832.5819,-256.28323,-233.4708,-129.04282,587.38495
67,969.6827,-1077.6132,-346.13895,-320.55624,-163.46964,802.7066
68,981.06506,-1113.3193,-338.3784,-303.49918,-170.63303,784.071
69,982.1723,-1114.3378,-335.67838,-297.72928,-169.45358,783.8259
70,801.7218,-910.6546,-287.5044,-269.80615,-144.33241,644.766
71,788.3306,-894.4517,-269.85464,-239.8192,-136.20238,629.28564
72,861.33044,-976.79846,-288.67386,-249.78806,-146.06703,685.29584
73,880.8932,-1000.2977,-312.24518,-289.20673,-156.95894,707.0993
74,799.77277,-906.9619,-267.66684,-231.19232,-135.46144,636.181
75,743.6595,-844.5492,-264.65826,-246.25298,-132.97926,597.3283
76,908.638,-1030.674,-307.47946,-269.35776,-155.40237,724.01685
77,978.5748,-1085.6659,-351.12253,-326.86816,-164.91104,812.6793
78,1031.3623,-1169.8389,-348.52618,-304.77734,-176.17497,821.6288
79,868.2088,-984.9996,-296.16827,-262.0743,-149.54347,692.67114
80,901.3438,-995.099,-327.68073,-308.96854,-151.51082,755.2689
81,1024.0276,-1161.6732,-348.035,-306.55176,-175.80695,816.51434
82,915.89197,-988.7139,-355.48386,-355.95374,-153.37645,799.6498
83,711.84674,-808.3312,-252.1605,-233.38727,-126.7676,571.34406
84,892.1614,-907.38635,-402.99414,-452.63257,-148.30994,859.1999
85,844.5954,-958.8563,-296.46887,-271.51932,-149.19638,676.8957
86,719.41486,-817.8793,-267.19485,-260.3692,-133.61473,581.948
87,757.0916,-860.7594,-281.81586,-275.24847,-140.89104,612.65564
88,1051.1176,-1192.5682,-359.37265,-318.8864,-181.40596,838.896
89,903.8351,-1025.0792,-303.95334,-264.16415,-153.7348,719.49286
90,886.2841,-1005.7414,-305.38568,-273.58188,-154.01501,708.2109
91,1008.3877,-1116.9032,-363.90543,-340.74298,-169.98735,840.1803
92,722.44135,-820.4375,-256.90015,-238.8174,-129.09338,580.20935
93,811.33655,-920.8318,-281.33167,-253.9607,-141.78026,648.9708
94,910.05286,-1031.0663,-304.20563,-262.23328,-153.56934,724.68134
95,759.34845,-861.6255,-260.65912,-232.44218,-131.51845,606.4165
96,865.4456,-982.513,-303.6142,-277.87738,-152.80197,693.5424
97,993.0316,-1126.539,-337.8496,-297.96613,-170.64133,791.9275
98,830.6486,-943.6551,-299.74927,-283.2517,-150.37271,668.71594
99,829.3579,-941.405,-289.1392,-262.69226,-145.62303,663.9573
100,863.44586,-926.97894,-339.7522,-344.14255,-144.25156,760.97687
101,1041.4768,-1181.466,-353.94748,-311.73917,-178.79442,830.4211
