X1,X2,X3,X4,Y1
3171,1000,0.175,0.3,7.364282878
3250,1250,0.1583,0.25,5.473218227
3278,1250,0.175,0.25,6.636884367
3649,1250,0.175,0.25,6.358730343
3060,1250,0.1417,0.3,5.436983574
3407,1250,0.1417,0.3,5.389955004
3073,1250,0.1583,0.3,6.21050263
3484,1250,0.1583,0.3,5.960364189
3895,1250,0.1583,0.3,5.936610679
3436,1250,0.175,0.3,7.102950705
3911,1250,0.175,0.3,6.768136994
4386,1250,0.175,0.3,6.538200526
3031,1500,0.1583,0.2,5.198119777
3368,1500,0.1583,0.2,4.995656483
3360,1500,0.175,0.2,6.038155023
3744,1500,0.175,0.2,5.786517468
3272,1500,0.125,0.25,4.738345437
3338,1500,0.1417,0.25,4.773383634
3740,1500,0.1417,0.25,4.744495479
3281,1500,0.1583,0.25,5.413729874
3743,1500,0.1583,0.25,5.272989956
4205,1500,0.1583,0.25,5.097644606
3106,1500,0.175,0.25,6.780582491
3628,1500,0.175,0.25,6.325938194
4150,1500,0.175,0.25,5.931944486
4672,1500,0.175,0.25,5.774483434
3042,1500,0.125,0.3,5.092275393
3485,1500,0.125,0.3,5.005912955
3928,1500,0.125,0.3,5.06711444
3456,1500,0.1417,0.3,5.322750272
3971,1500,0.1417,0.3,5.212468846
4486,1500,0.1417,0.3,5.146683838
3280,1500,0.1583,0.3,6.023705781
3867,1500,0.1583,0.3,5.817793316
4455,1500,0.1583,0.3,5.523965487
5042,1500,0.1583,0.3,5.596791527
3621,1500,0.175,0.3,6.939196238
4281,1500,0.175,0.3,6.521321124
4941,1500,0.175,0.3,6.290444705
5601,1500,0.175,0.3,6.188850526
3102,1750,0.1583,0.15,5.147422906
3125,1750,0.175,0.15,6.254685601
3455,1750,0.175,0.15,5.977702328
3244,1750,0.125,0.2,4.788189257
3300,1750,0.1417,0.2,4.432256882
3689,1750,0.1417,0.2,4.406672357
3241,1750,0.1583,0.2,5.073489538
3686,1750,0.1583,0.2,4.822980308
4131,1750,0.1583,0.2,4.750014999
3071,1750,0.175,0.2,6.304433241
3573,1750,0.175,0.2,5.889123366
4074,1750,0.175,0.2,5.570804394
4575,1750,0.175,0.2,5.492913691
3158,1750,0.125,0.25,4.781219111
3624,1750,0.125,0.25,4.673921552
4091,1750,0.125,0.25,4.773681151
3020,1750,0.1417,0.25,4.885218244
