Run,L,G,w,lldg,CI Width Prior
1,3171,1000,0.175,0.3,7.364282878
2,3250,1250,0.1583,0.25,5.473218227
3,3278,1250,0.175,0.25,6.636884367
4,3649,1250,0.175,0.25,6.358730343
5,3060,1250,0.1417,0.3,5.436983574
6,3407,1250,0.1417,0.3,5.389955004
7,3073,1250,0.1583,0.3,6.21050263
8,3484,1250,0.1583,0.3,5.960364189
9,3895,1250,0.1583,0.3,5.936610679
10,3436,1250,0.175,0.3,7.102950705
11,3911,1250,0.175,0.3,6.768136994
12,4386,1250,0.175,0.3,6.538200526
13,3031,1500,0.1583,0.2,5.198119777
14,3368,1500,0.1583,0.2,4.995656483
15,3360,1500,0.175,0.2,6.038155023
16,3744,1500,0.175,0.2,5.786517468
17,3272,1500,0.125,0.25,4.738345437
18,3338,1500,0.1417,0.25,4.773383634
19,3740,1500,0.1417,0.25,4.744495479
20,3281,1500,0.1583,0.25,5.413729874
21,3743,1500,0.1583,0.25,5.272989956
22,4205,1500,0.1583,0.25,5.097644606
23,3106,1500,0.175,0.25,6.780582491
24,3628,1500,0.175,0.25,6.325938194
25,4150,1500,0.175,0.25,5.931944486
26,4672,1500,0.175,0.25,5.774483434
27,3042,1500,0.125,0.3,5.092275393
28,3485,1500,0.125,0.3,5.005912955
29,3928,1500,0.125,0.3,5.06711444
30,3456,1500,0.1417,0.3,5.322750272
31,3971,1500,0.1417,0.3,5.212468846
32,4486,1500,0.1417,0.3,5.146683838
33,3280,1500,0.1583,0.3,6.023705781
34,3867,1500,0.1583,0.3,5.817793316
35,4455,1500,0.1583,0.3,5.523965487
36,5042,1500,0.1583,0.3,5.596791527
37,3621,1500,0.175,0.3,6.939196238
38,4281,1500,0.175,0.3,6.521321124
39,4941,1500,0.175,0.3,6.290444705
40,5601,1500,0.175,0.3,6.188850526
41,3102,1750,0.1583,0.15,5.147422906
42,3125,1750,0.175,0.15,6.254685601
43,3455,1750,0.175,0.15,5.977702328
44,3244,1750,0.125,0.2,4.788189257
45,3300,1750,0.1417,0.2,4.432256882
46,3689,1750,0.1417,0.2,4.406672357
47,3241,1750,0.1583,0.2,5.073489538
48,3686,1750,0.1583,0.2,4.822980308
49,4131,1750,0.1583,0.2,4.750014999
50,3071,1750,0.175,0.2,6.304433241
51,3573,1750,0.175,0.2,5.889123366
52,4074,1750,0.175,0.2,5.570804394
53,4575,1750,0.175,0.2,5.492913691
54,3158,1750,0.125,0.25,4.781219111
55,3624,1750,0.125,0.25,4.673921552
56,4091,1750,0.125,0.25,4.773681151
57,3020,1750,0.1417,0.25,4.885218244
58,3556,1750,0.1417,0.25,4.670821685
59,4091,1750,0.1417,0.25,4.641827853
60,4627,1750,0.1417,0.25,4.581235568
61,3348,1750,0.1583,0.25,5.343909518
62,3952,1750,0.1583,0.25,5.122253066
63,4556,1750,0.1583,0.25,4.925927731
64,5160,1750,0.1583,0.25,5.095941223
65,3004,1750,0.175,0.25,6.843779494
66,3677,1750,0.175,0.25,6.22337949
67,4350,1750,0.175,0.25,5.816771375
68,5023,1750,0.175,0.25,5.612361583
69,5695,1750,0.175,0.25,5.420257537
70,3133,1750,0.125,0.3,4.978342318
71,3735,1750,0.125,0.3,4.947848001
72,4337,1750,0.125,0.3,5.044528664
73,4938,1750,0.125,0.3,5.163815848
74,3517,1750,0.1417,0.3,5.211981072
75,4200,1750,0.1417,0.3,5.120973525
76,4883,1750,0.1417,0.3,5.147073466
77,5565,1750,0.1417,0.3,5.571382905
78,3135,1750,0.1583,0.3,6.098414149
79,3898,1750,0.1583,0.3,5.683488689
80,4662,1750,0.1583,0.3,5.437436526
81,5425,1750,0.1583,0.3,5.689237488
82,6189,1750,0.1583,0.3,6.261281958
83,3438,1750,0.175,0.3,6.973303038
84,4282,1750,0.175,0.3,6.425398256
85,5127,1750,0.175,0.3,6.154577244
86,5971,1750,0.175,0.3,6.037565594
87,6816,1750,0.175,0.3,6.551601189
88,3254,2000,0.1417,0.15,4.448484726
89,3313,2000,0.1583,0.15,5.03138858
90,3673,2000,0.1583,0.15,4.827170707
91,3270,2000,0.175,0.15,6.112836445
92,3682,2000,0.175,0.15,5.825574638
93,4095,2000,0.175,0.15,5.556073754
94,3025,2000,0.125,0.2,4.829969675
95,3448,2000,0.125,0.2,4.775863445
96,3871,2000,0.125,0.2,4.7731892
97,3408,2000,0.1417,0.2,4.405285529
98,3896,2000,0.1417,0.2,4.357779844
99,4384,2000,0.1417,0.2,4.358754779
100,3235,2000,0.1583,0.2,5.076445781
101,3788,2000,0.1583,0.2,4.828087699
102,4341,2000,0.1583,0.2,4.727178707
103,4894,2000,0.1583,0.2,4.640729785
104,3552,2000,0.175,0.2,5.905060595
105,4170,2000,0.175,0.2,5.503464326
106,4788,2000,0.175,0.2,5.366376261
107,5406,2000,0.175,0.2,5.000957259
108,3135,2000,0.125,0.25,4.773693654
109,3727,2000,0.125,0.25,4.668363604
110,4318,2000,0.125,0.25,4.685041922
111,4910,2000,0.125,0.25,4.812461935
112,3506,2000,0.1417,0.25,4.702977308
113,4176,2000,0.1417,0.25,4.599495108
114,4845,2000,0.1417,0.25,4.507821656
115,5514,2000,0.1417,0.25,5.053838001
116,3130,2000,0.1583,0.25,5.443681925
117,3876,2000,0.1583,0.25,5.112407642
118,4622,2000,0.1583,0.25,4.865207829
119,5368,2000,0.1583,0.25,5.097864237
120,6114,2000,0.1583,0.25,5.439885402
121,3424,2000,0.175,0.25,6.382911423
122,4248,2000,0.175,0.25,5.820424138
123,5071,2000,0.175,0.25,5.565883328
124,5895,2000,0.175,0.25,5.539196204
125,6718,2000,0.175,0.25,5.965381104
126,3667,2000,0.125,0.3,4.801239184
127,4428,2000,0.125,0.3,5.041844819
128,5188,2000,0.125,0.3,5.295337045
129,5949,2000,0.125,0.3,6.592344858
130,3243,2000,0.1417,0.3,5.219105757
131,4093,2000,0.1417,0.3,5.062527935
132,4943,2000,0.1417,0.3,5.104751313
133,5794,2000,0.1417,0.3,5.727067101
134,6644,2000,0.1417,0.3,7.128413905
135,3577,2000,0.1583,0.3,5.746900229
136,4517,2000,0.1583,0.3,5.399974085
137,5456,2000,0.1583,0.3,5.589592991
138,6396,2000,0.1583,0.3,6.355547593
139,7335,2000,0.1583,0.3,6.91087192
140,3914,2000,0.175,0.3,6.576593079
141,4943,2000,0.175,0.3,6.162072862
142,5972,2000,0.175,0.3,5.956076745
143,7001,2000,0.175,0.3,6.379724238
144,8030,2000,0.175,0.3,6.810776482
145,3230,2250,0.175,0.1,6.151992859
146,3267,2250,0.125,0.15,4.789552994
147,3012,2250,0.1417,0.15,4.544396974
148,3385,2250,0.1417,0.15,4.404812654
149,3757,2250,0.1417,0.15,4.387521039
150,3377,2250,0.1583,0.15,4.989809412
151,3810,2250,0.1583,0.15,4.824276933
152,4244,2250,0.1583,0.15,4.736235856
153,3248,2250,0.175,0.15,6.134372472
154,3743,2250,0.175,0.15,5.787314751
155,4239,2250,0.175,0.15,5.480759914
156,4734,2250,0.175,0.15,5.395795162
157,3470,2250,0.125,0.2,4.770773153
158,3984,2250,0.125,0.2,4.756778012
159,4498,2250,0.125,0.2,4.791476346
160,3316,2250,0.1417,0.2,4.428023235
161,3904,2250,0.1417,0.2,4.356985975
162,4491,2250,0.1417,0.2,4.373157256
163,5079,2250,0.1417,0.2,4.518911208
164,3013,2250,0.1583,0.2,5.210972505
165,3674,2250,0.1583,0.2,4.826848369
166,4335,2250,0.1583,0.2,4.728786938
167,4996,2250,0.1583,0.2,4.679477937
168,5657,2250,0.1583,0.2,4.882404916
169,3298,2250,0.175,0.2,6.085426955
170,4033,2250,0.175,0.2,5.603013086
171,4768,2250,0.175,0.2,5.37727215
172,5503,2250,0.175,0.2,4.993933351
173,6238,2250,0.175,0.2,5.272421104
174,3579,2250,0.125,0.25,4.66799814
175,4295,2250,0.125,0.25,4.676777511
176,5012,2250,0.125,0.25,4.919537124
177,5729,2250,0.125,0.25,6.084222535
178,3190,2250,0.1417,0.25,4.805577406
179,3993,2250,0.1417,0.25,4.591763436
180,4795,2250,0.1417,0.25,4.504642864
181,5598,2250,0.1417,0.25,5.126813286
182,6401,2250,0.1417,0.25,6.392907172
183,3516,2250,0.1583,0.25,5.202406132
184,4404,2250,0.1583,0.25,4.927850577
185,5293,2250,0.1583,0.25,5.072623708
186,6181,2250,0.1583,0.25,5.507113123
187,7069,2250,0.1583,0.25,6.432580363
188,3844,2250,0.175,0.25,6.078514058
189,4818,2250,0.175,0.25,5.714888693
190,5793,2250,0.175,0.25,5.459696424
191,6767,2250,0.175,0.25,5.911700732
192,7741,2250,0.175,0.25,6.022058027
193,3281,2250,0.125,0.3,4.825276262
194,4201,2250,0.125,0.3,4.909220961
195,5120,2250,0.125,0.3,5.13915462
196,6040,2250,0.125,0.3,6.669869293
197,6960,2250,0.125,0.3,8.076236418
198,3651,2250,0.1417,0.3,5.047673073
199,4669,2250,0.1417,0.3,4.904512417
200,5687,2250,0.1417,0.3,5.516242685
201,6705,2250,0.1417,0.3,7.075527717
202,7723,2250,0.1417,0.3,7.59192573
203,4019,2250,0.1583,0.3,5.453861438
204,5135,2250,0.1583,0.3,5.389195579
205,6251,2250,0.1583,0.3,6.119260822
206,7366,2250,0.1583,0.3,6.885928649
207,8482,2250,0.1583,0.3,7.311911688
208,4389,2250,0.175,0.3,6.280492636
209,5603,2250,0.175,0.3,5.93814135
210,6817,2250,0.175,0.3,6.376127772
211,8031,2250,0.175,0.3,6.644718546
212,9245,2250,0.175,0.3,7.234168024
213,3211,2500,0.1583,0.1,5.088270753
214,3069,2500,0.175,0.1,6.306275746
215,3373,2500,0.175,0.1,6.029882549
216,3678,2500,0.175,0.1,5.82770273
217,3335,2500,0.125,0.15,4.796019504
218,3703,2500,0.125,0.15,4.808624709
219,3384,2500,0.1417,0.15,4.405005598
220,3822,2500,0.1417,0.15,4.366178835
221,4261,2500,0.1417,0.15,4.342198659
222,3292,2500,0.1583,0.15,5.045031744
223,3800,2500,0.1583,0.15,4.827494427
224,4307,2500,0.1583,0.15,4.734680381
225,4815,2500,0.1583,0.15,4.622337653
226,3061,2500,0.175,0.15,6.313645767
227,3639,2500,0.175,0.15,5.848451623
228,4217,2500,0.175,0.15,5.483562571
229,4795,2500,0.175,0.15,5.3625627
230,5373,2500,0.175,0.15,5.010611825
231,3310,2500,0.125,0.2,4.792102588
232,3915,2500,0.125,0.2,4.762794809
233,4520,2500,0.125,0.2,4.79382782
234,5125,2500,0.125,0.2,5.24334782
235,3025,2500,0.1417,0.2,4.538981575
236,3712,2500,0.1417,0.2,4.400368622
237,4400,2500,0.1417,0.2,4.36090842
238,5087,2500,0.1417,0.2,4.525481916
239,5774,2500,0.1417,0.2,5.271604267
240,3343,2500,0.1583,0.2,5.011898345
241,4112,2500,0.1583,0.2,4.758286707
242,4881,2500,0.1583,0.2,4.62989031
243,5650,2500,0.1583,0.2,4.875986827
244,6420,2500,0.1583,0.2,5.571334742
245,3663,2500,0.175,0.2,5.835683074
246,4514,2500,0.175,0.2,5.511217142
247,5366,2500,0.175,0.2,5.014528451
248,6217,2500,0.175,0.2,5.261942953
249,7069,2500,0.175,0.2,5.556475983
250,3180,2500,0.125,0.25,4.745177393
251,4022,2500,0.125,0.25,4.671961006
252,4864,2500,0.125,0.25,4.671909103
253,5706,2500,0.125,0.25,6.025000131
254,6548,2500,0.125,0.25,7.550148165
255,3542,2500,0.1417,0.25,4.67659976
256,4479,2500,0.1417,0.25,4.48003186
257,5415,2500,0.1417,0.25,4.975272393
258,6352,2500,0.1417,0.25,6.306466669
259,7288,2500,0.1417,0.25,7.114716235
260,3902,2500,0.1583,0.25,4.993803931
261,4933,2500,0.1583,0.25,4.897413699
262,5963,2500,0.1583,0.25,5.311619299
263,6994,2500,0.1583,0.25,6.331750486
264,8024,2500,0.1583,0.25,6.782534738
265,4264,2500,0.175,0.25,5.78253459
266,5389,2500,0.175,0.25,5.396712978
267,6514,2500,0.175,0.25,5.850623938
268,7639,2500,0.175,0.25,5.946382983
269,8764,2500,0.175,0.25,6.585990239
270,3655,2500,0.125,0.3,4.808417709
271,4734,2500,0.125,0.3,4.939795212
272,5813,2500,0.125,0.3,6.15235662
273,6892,2500,0.125,0.3,8.050073527
274,7971,2500,0.125,0.3,8.797814128
275,4059,2500,0.1417,0.3,4.953157051
276,5245,2500,0.1417,0.3,5.11298656
277,6431,2500,0.1417,0.3,6.648114228
278,7616,2500,0.1417,0.3,7.541034087
279,8802,2500,0.1417,0.3,8.222794526
280,4461,2500,0.1583,0.3,5.377833697
281,5753,2500,0.1583,0.3,5.691230359
282,7045,2500,0.1583,0.3,6.603556095
283,8337,2500,0.1583,0.3,7.18735366
284,9629,2500,0.1583,0.3,8.024767372
285,4865,2500,0.175,0.3,6.041398934
286,6264,2500,0.175,0.3,6.062338842
287,7663,2500,0.175,0.3,6.386065073
288,9061,2500,0.175,0.3,6.989527494
289,10460,2500,0.175,0.3,7.970687812
290,3058,2750,0.1417,0.1,4.525234794
291,3017,2750,0.1583,0.1,5.208116343
292,3303,2750,0.1583,0.1,5.037885325
293,3590,2750,0.1583,0.1,4.855272832
294,3066,2750,0.175,0.1,6.309039504
295,3419,2750,0.175,0.1,6.000610718
296,3772,2750,0.175,0.1,5.771008949
297,4125,2750,0.175,0.1,5.535029983
298,3288,2750,0.125,0.15,4.790798144
299,3713,2750,0.125,0.15,4.811562717
300,4138,2750,0.125,0.15,4.752997672
301,3253,2750,0.1417,0.15,4.448668571
302,3756,2750,0.1417,0.15,4.388192289
303,4260,2750,0.1417,0.15,4.342064057
304,4764,2750,0.1417,0.15,4.351641352
305,3058,2750,0.1583,0.15,5.178840685
306,3640,2750,0.1583,0.15,4.837807874
307,4222,2750,0.1583,0.15,4.736779038
308,4804,2750,0.1583,0.15,4.622851985
309,5386,2750,0.1583,0.15,4.716533746
310,3370,2750,0.175,0.15,6.031791581
311,4030,2750,0.175,0.15,5.606435094
312,4691,2750,0.175,0.15,5.42495332
313,5352,2750,0.175,0.15,5.029628432
314,6013,2750,0.175,0.15,5.290032019
315,3664,2750,0.125,0.2,4.793529477
316,4360,2750,0.125,0.2,4.776726188
317,5056,2750,0.125,0.2,5.13845375
318,5752,2750,0.125,0.2,6.206721337
319,3322,2750,0.1417,0.2,4.426435617
320,4109,2750,0.1417,0.2,4.333557998
321,4896,2750,0.1417,0.2,4.386564339
322,5683,2750,0.1417,0.2,5.178969193
323,6470,2750,0.1417,0.2,6.30490788
324,3673,2750,0.1583,0.2,4.827170707
325,4551,2750,0.1583,0.2,4.705895215
326,5428,2750,0.1583,0.2,4.712087248
327,6305,2750,0.1583,0.2,5.429941937
328,7183,2750,0.1583,0.2,6.200317547
329,4027,2750,0.175,0.2,5.609857101
330,4995,2750,0.175,0.2,5.203043876
331,5963,2750,0.175,0.2,5.307171375
332,6932,2750,0.175,0.2,5.561738954
333,7900,2750,0.175,0.2,5.849857946
334,3499,2750,0.125,0.25,4.684577622
335,4466,2750,0.125,0.25,4.680269483
336,5433,2750,0.125,0.25,5.593507991
337,6400,2750,0.125,0.25,7.211866164
338,7367,2750,0.125,0.25,8.2765942
339,3895,2750,0.1417,0.25,4.573465237
340,4965,2750,0.1417,0.25,4.521949656
341,6035,2750,0.1417,0.25,5.696096033
342,7105,2750,0.1417,0.25,6.951971408
343,8175,2750,0.1417,0.25,7.535906519
344,4288,2750,0.1583,0.25,4.90221766
345,5461,2750,0.1583,0.25,5.036844158
346,6634,2750,0.1583,0.25,6.140333343
347,7806,2750,0.1583,0.25,6.644889443
348,8979,2750,0.1583,0.25,7.425953295
349,4684,2750,0.175,0.25,5.665501954
350,5960,2750,0.175,0.25,5.515366695
351,7236,2750,0.175,0.25,5.784434122
352,8512,2750,0.175,0.25,6.3513485
353,9787,2750,0.175,0.25,7.186989463
354,4030,2750,0.125,0.3,4.918387812
355,5268,2750,0.125,0.3,5.332767942
356,6506,2750,0.125,0.3,7.509521442
357,7743,2750,0.125,0.3,8.617896061
358,8981,2750,0.125,0.3,9.298917081
359,4468,2750,0.1417,0.3,4.838363733
360,5821,2750,0.1417,0.3,5.697123713
361,7174,2750,0.1417,0.3,7.196087187
362,8528,2750,0.1417,0.3,8.065858518
363,9881,2750,0.1417,0.3,8.989357736
364,4903,2750,0.1583,0.3,5.233993307
365,6371,2750,0.1583,0.3,5.969224359
366,7839,2750,0.1583,0.3,6.884807343
367,9307,2750,0.1583,0.3,7.781199739
368,10775,2750,0.1583,0.3,8.66972006
369,5341,2750,0.175,0.3,5.859109571
370,6925,2750,0.175,0.3,6.20944154
371,8508,2750,0.175,0.3,6.630794039
372,10091,2750,0.175,0.3,7.600079471
373,11675,2750,0.175,0.3,8.840396629
