w,G,lldg,L
0.143166,2420.01,0.11742,8807.563600000001
0.14418599999999998,1992.29,0.10938,6170.3836
0.172422,1067.83,0.1037,4653.3772
0.167598,1574.0900000000001,0.28934,6028.0596000000005
0.12468599999999999,1950.1299999999999,0.13054,8655.193200000002
0.14151,2587.29,0.20418,4331.8924
0.164322,1332.01,0.2123,5535.786
0.138642,1334.39,0.2387,5006.6756000000005
0.147678,2131.01,0.20254,4052.2676
0.165774,1468.69,0.17746,6878.6548
0.15609,1469.37,0.29462,4002.0356
0.126366,1907.97,0.20554,9554.346
0.14313,1501.33,0.23178,9308.209200000001
0.152046,1994.67,0.16442,8913.0508
0.179778,1445.23,0.22233999999999998,8810.912400000001
0.130458,2457.41,0.28042,6319.4052
0.133266,2086.81,0.15266,4385.4732
0.17943,1233.75,0.19734000000000002,9035.282
0.16779,2587.9700000000003,0.28202,9738.529999999999
0.143286,1582.9299999999998,0.2935,5674.7612
0.135162,2669.23,0.2743,7046.0948
0.156078,2427.49,0.22246,8005.526
0.12621,1972.5700000000002,0.26542,7643.8556
0.156042,1057.63,0.1187,6835.1204
0.167562,1571.37,0.29106,10907.2612
0.158994,2588.31,0.23358,3963.5244
0.126858,2260.21,0.19622,3575.0636
0.159234,2010.65,0.22010000000000002,9686.623599999999
0.120318,1044.37,0.2489,4258.218800000001
0.12975,1471.75,0.23162,5599.4132
0.14773799999999998,1268.0900000000001,0.18641999999999997,10466.894
0.170118,2066.41,0.15562,10567.358
0.179442,1224.23,0.29554,7054.4668
0.129906,1846.43,0.18813999999999997,11376.0932
0.14596199999999998,1846.77,0.20598,8042.3628
0.138258,1306.17,0.1397,9497.4164
0.134646,1894.71,0.26617999999999997,4668.4468
0.13713,1918.17,0.20529999999999998,8869.5164
0.142698,1270.13,0.17994,8941.5156
0.12581399999999998,1926.67,0.16794,3050.9764
0.14157,1778.4299999999998,0.18262,4226.4052
0.128694,2596.13,0.15226,6659.3084
0.15473399999999998,1728.1100000000001,0.27814,10838.610799999999
0.17895,2279.25,0.11098000000000001,8105.990000000001
0.15578999999999998,2608.71,0.11258,5815.4108
0.15933,1640.73,0.26918,9139.094799999999
0.151134,2095.99,0.18502,6922.189200000001
0.16455,1339.15,0.29001999999999994,4850.9564
0.14790599999999998,2404.37,0.18074,8442.5444
0.13999799999999998,2541.73,0.20414,3146.4172
0.164406,1658.75,0.17402,3332.2756
0.173598,1777.0700000000002,0.2233,6366.2883999999995
0.179838,2252.3900000000003,0.22938,4363.706
0.16888199999999998,1940.9499999999998,0.16462,4197.9403999999995
0.14612999999999998,2301.35,0.21938,7535.0196
0.15783,2282.31,0.27162,11062.9804
0.153942,1516.63,0.14126,8841.0516
0.14435399999999998,1290.87,0.23426,4521.0996
0.142206,1668.27,0.27446,6542.1004
0.169854,2052.81,0.21345999999999998,4303.4276
0.16494599999999998,2460.13,0.21438,3936.734
0.14468999999999999,1614.8899999999999,0.29825999999999997,10311.1748
0.155694,2382.27,0.15478,5895.782
0.14002199999999998,1248.71,0.10642,5492.2516
0.12978599999999998,1008.33,0.22110000000000002,9706.7164
0.146202,1967.81,0.27325999999999995,5458.7636
0.151086,1823.31,0.12726,8732.2156
0.15304199999999998,1630.19,0.18146,11263.9084
0.13591799999999998,1162.69,0.1583,6423.218
0.12486599999999999,1483.65,0.16186,7118.094
0.175974,2227.5699999999997,0.28122,3486.3204
0.174342,1824.67,0.17102,11078.05
0.178062,1238.51,0.26774,9803.831600000001
0.121158,1709.4099999999999,0.26149999999999995,9932.7604
0.17657399999999998,1882.81,0.16122,9892.574799999999
0.146538,1350.71,0.1019,7926.829199999999
0.17901,1597.55,0.1725,5540.8092
0.14775,2048.05,0.23842,4891.142
0.179982,1313.99,0.24158,10353.034800000001
0.127002,2230.29,0.12794,3884.8276
0.15556199999999998,2464.8900000000003,0.12714,6376.3348
0.12093,1576.13,0.16246,7200.1396
0.175914,1851.19,0.22794,6567.2164
0.123138,1367.37,0.18846000000000002,10428.3828
0.16743,2564.17,0.12114,6073.268400000001
0.127098,1260.6100000000001,0.12198,5334.858
0.153714,2163.65,0.12818000000000002,8573.1476
0.134034,1939.59,0.1529,6895.3988
0.179082,1689.69,0.10614000000000001,4321.846
0.170622,2684.87,0.26449999999999996,4370.4036
0.12079799999999999,1318.75,0.28058,6712.8892
0.140514,1253.13,0.26434,10580.7532
0.120126,1450.67,0.11238000000000001,7886.6436
0.175818,2572.33,0.21574,4566.3084
0.14631,1966.1100000000001,0.15194,7235.302
0.176598,1134.13,0.11230000000000001,10862.0524
0.122238,1925.31,0.20257999999999998,7576.8796
0.150006,1511.53,0.27246,3474.5996
0.166242,2668.8900000000003,0.28434,10322.8956
0.14475,1493.17,0.26102000000000003,3948.4548
0.17289,1006.29,0.29401999999999995,9951.1788
0.179922,1712.81,0.2131,6980.7932
0.131022,2109.9300000000003,0.14062,6364.614
0.157326,1148.41,0.2803,7101.35
0.150078,2259.5299999999997,0.1023,10299.454000000002
0.13485,1105.57,0.10082,6232.3364
0.138846,1664.5300000000002,0.1587,6550.472400000001
0.13042199999999998,1498.6100000000001,0.12226000000000001,3961.85
0.17889,1785.9099999999999,0.2637,4387.1476
0.15883799999999998,2533.91,0.2667,7935.2011999999995
0.133638,2475.77,0.27718,10918.982
0.15447,1511.19,0.21058,6744.7028
0.135906,2523.37,0.13114,6270.847599999999
0.12705,1200.09,0.19757999999999998,9664.8564
0.17257799999999998,1981.75,0.21910000000000002,6329.4516
0.165906,2660.05,0.16562,6347.870000000001
0.179094,1822.9699999999998,0.1247,9986.341199999999
0.12300599999999999,1328.27,0.2587,7558.461200000001
0.166098,1916.13,0.23298,9386.905999999999
0.13139399999999998,1859.35,0.29381999999999997,10337.965199999999
0.15369,1060.01,0.2833,9180.9548
0.16119,1796.1100000000001,0.16714,6563.8676
0.129282,2517.25,0.22502,10761.5884
0.13796999999999998,1252.45,0.26846000000000003,5262.8588
0.155658,1253.81,0.29598,4346.9619999999995
0.15773399999999999,2312.91,0.13554,6522.0076
0.12711,1129.03,0.1477,3563.3428
0.15978599999999998,2512.1499999999996,0.26242,11027.818
0.12986999999999999,1317.73,0.14094,10014.806
0.150234,2161.27,0.1457,9333.3252
0.144846,1148.07,0.29334,6841.818
0.15365399999999999,1458.83,0.24814,5634.5756
0.12310199999999999,1693.77,0.10594,6419.8692
0.126282,2091.91,0.21989999999999998,3834.5956
0.135186,1803.5900000000001,0.2703,10135.362799999999
0.123942,2007.9299999999998,0.15342,3417.67
0.121638,2316.99,0.25173999999999996,4569.6572
0.166134,2651.8900000000003,0.18674,9097.2348
0.129966,2579.81,0.12162,7236.9764000000005
0.142614,2036.83,0.26454,8171.2916
0.17751,2145.9700000000003,0.16966,4318.4972
0.133734,2129.6499999999996,0.21394,4639.982
0.153558,1137.19,0.11446,10068.3868
0.17235,2032.4099999999999,0.14582,7031.0252
0.154602,2016.0900000000001,0.26517999999999997,7657.2508
0.134898,1434.01,0.1771,11245.49
0.12898199999999999,2073.8900000000003,0.17778,8482.73
0.136242,1957.95,0.28513999999999995,3079.4412
0.128118,2181.67,0.15106,4943.0484
0.168138,2038.87,0.26049999999999995,3258.602
0.170658,2386.69,0.1605,9348.3948
0.16011,1312.29,0.1599,4907.886
0.154806,2110.27,0.2101,10642.706
0.136962,1952.51,0.12486,9119.002
0.15623399999999998,2581.85,0.28769999999999996,10009.7828
0.140346,2375.81,0.12694,10897.2148
0.168978,1990.25,0.20845999999999998,4070.6859999999997
0.120822,1489.77,0.25522,5257.8356
0.148806,1196.69,0.23757999999999999,4604.8196
0.170454,1784.5500000000002,0.17382,4375.4268
0.13120199999999999,2413.55,0.15814,3350.694
0.13545,1853.9099999999999,0.11682000000000001,7811.2956
0.14205,1577.83,0.20206,10049.9684
0.156306,1814.13,0.20778000000000002,4579.7036
0.17085,1064.77,0.19041999999999998,8740.587599999999
0.159462,1072.93,0.29454,11126.6076
0.133914,2196.97,0.10598,11193.5836
0.168762,2423.0699999999997,0.14298,8074.1764
0.163674,1689.35,0.12418,6428.2412
0.17194199999999998,1037.57,0.29081999999999997,6239.034
