Id,G,lldg,L,S,CapPct
1,36000,0.1,38378.655,6600,80
2,55500,0.175,82173.0507,8600,87.5
3,45750,0.2125,73145.4572,6800,83.75
4,65250,0.1375,90543.2044,11200,91.25
5,40875,0.19375,68526.6812,6700,93.125
6,60375,0.11875,73790.1883,10600,85.625
7,50625,0.15625,71949.3013,8000,89.375
8,70125,0.23125,120164.106,10500,81.875
9,38437.5,0.240625,74827.7638,6200,90.3125
10,57937.5,0.165625,78451.4689,8400,82.8125
11,48187.5,0.128125,66463.8363,8700,94.0625
12,67687.5,0.203125,110423.277,10600,86.5625
13,43312.5,0.146875,56130.2781,6400,84.6875
14,62812.5,0.221875,118827.678,10700,92.1875
15,53062.5,0.184375,74289.2522,7500,80.9375
16,72562.5,0.109375,90119.6796,14300,88.4375
17,37218.75,0.1796875,54220.7675,5500,86.09375
18,56718.75,0.1046875,73258.4035,12200,93.59375
19,46968.75,0.1421875,58403.9639,6900,82.34375
20,66468.75,0.2171875,119711.279,10900,89.84375
21,42093.75,0.1234375,53026.0655,7200,87.96875
22,61593.75,0.1984375,90537.497,8800,80.46875
23,51843.75,0.2359375,102354.126,8700,91.71875
24,71343.75,0.1609375,97801.5743,10700,84.21875
25,39656.25,0.1703125,60869.6805,6400,92.65625
26,59156.25,0.2453125,111874.223,9200,85.15625
27,49406.25,0.2078125,83325.81,7800,88.90625
28,68906.25,0.1328125,83493.2318,10600,81.40625
29,44531.25,0.2265625,74673.2008,6600,83.28125
30,64031.25,0.1515625,92150.0463,10500,90.78125
31,54281.25,0.1140625,66377.5114,10000,87.03125
32,73781.25,0.1890625,128047.208,12800,94.53125
33,36609.375,0.21953125,68548.9395,6100,94.296875
34,56109.375,0.14453125,74786.8062,8800,86.796875
35,46359.375,0.10703125,57725.4293,9300,90.546875
36,65859.375,0.18203125,94943.4635,9700,83.046875
37,41484.375,0.16328125,53949.499,5800,81.171875
38,60984.375,0.23828125,117688.452,10000,88.671875
39,51234.375,0.20078125,80008.8937,7700,84.921875
40,70734.375,0.12578125,96535.1732,13100,92.421875
41,39046.875,0.13515625,48318.0011,6000,83.984375
42,58546.875,0.21015625,104003.434,9700,91.484375
43,48796.875,0.24765625,86041.0649,7000,80.234375
44,68296.875,0.17265625,101585.517,10700,87.734375
45,43921.875,0.19140625,70053,6900,89.609375
46,63421.875,0.11640625,73797.8247,10800,82.109375
47,53671.875,0.15390625,79708.0232,8900,93.359375
48,73171.875,0.22890625,131752.234,11600,85.859375
49,37828.125,0.13984375,50523.6554,6000,89.140625
50,57328.125,0.21484375,90710.3927,8400,81.640625
51,47578.125,0.17734375,75490,7800,92.890625
52,67078.125,0.10234375,78461.5701,13400,85.390625
53,42703.125,0.23359375,77696.6004,6700,87.265625
54,62203.125,0.15859375,96161.1488,10600,94.765625
55,52453.125,0.12109375,62541.5617,8700,83.515625
56,71953.125,0.19609375,121813.662,11900,91.015625
57,40265.625,0.20546875,61460.6299,5800,82.578125
58,59765.625,0.13046875,79759.6967,10300,90.078125
59,50015.625,0.16796875,70998.7726,7600,86.328125
60,69515.625,0.24296875,151444.005,12500,93.828125
61,45140.625,0.11171875,57839.7286,8900,91.953125
62,64640.625,0.18671875,96386.415,9700,84.453125
63,54890.625,0.22421875,98393.109,8800,88.203125
64,74390.625,0.14921875,94063.3064,10800,80.703125
65,36304.6875,0.199609375,57925.7553,5500,87.8515625
66,55804.6875,0.124609375,64650.7367,8800,80.3515625
67,46054.6875,0.162109375,68296.898,7400,91.6015625
68,65554.6875,0.237109375,118430.922,10100,84.1015625
69,41179.6875,0.105859375,48223.204,7800,85.9765625
70,60679.6875,0.180859375,99376.9692,10200,93.4765625
71,50929.6875,0.218359375,81929.7372,7400,82.2265625
72,70429.6875,0.143359375,97963.2736,11600,89.7265625
73,38742.1875,0.152734375,49956.7792,5600,83.1640625
74,58242.1875,0.227734375,110005.97,9700,90.6640625
75,48492.1875,0.190234375,74671.3954,7400,86.9140625
76,67992.1875,0.115234375,92065.8407,13800,94.4140625
77,43617.1875,0.246484375,90631.929,7400,92.5390625
78,63117.1875,0.171484375,89984.573,9500,85.0390625
79,53367.1875,0.133984375,70516.7585,8900,88.7890625
80,72867.1875,0.208984375,113548.542,10700,81.2890625
81,37523.4375,0.119921875,50086.574,7000,93.9453125
82,57023.4375,0.194921875,89350.7329,8800,86.4453125
83,47273.4375,0.232421875,89482.0185,7700,90.1953125
84,66773.4375,0.157421875,88484.2358,9800,82.6953125
85,42398.4375,0.176171875,57235.6032,5900,80.8203125
86,61898.4375,0.101171875,74587.423,12900,88.3203125
87,52148.4375,0.138671875,66248.8299,8000,84.5703125
88,71648.4375,0.213671875,131982.88,12200,92.0703125
89,39960.9375,0.223046875,67824.3727,6000,85.5078125
90,59460.9375,0.148046875,86704.7209,10000,93.0078125
91,49710.9375,0.110546875,56217.1247,8700,81.7578125
92,69210.9375,0.185546875,109860.293,11100,89.2578125
93,44835.9375,0.166796875,67056.6663,7100,91.1328125
94,64335.9375,0.241796875,117742.45,9900,83.6328125
95,54585.9375,0.204296875,98914.4873,9400,94.8828125
96,74085.9375,0.129296875,96189.6638,12700,87.3828125
97,36914.0625,0.159765625,50784.9213,5500,86.6796875
98,56414.0625,0.234765625,115856.134,9900,94.1796875
99,46664.0625,0.197265625,69825.5025,6800,82.9296875
100,66164.0625,0.122265625,86966.5954,12100,90.4296875
