w,G,lldg,L
0.125,1000,0.1,3495
0.125,1000,0.15,3302
0.125,1000,0.2,3110
0.125,1000,0.2,3035
0.125,1000,0.25,3496
0.125,1000,0.25,4075
0.125,1000,0.25,4654
0.125,1000,0.3,3957
0.125,1000,0.3,5190
0.125,1000,0.3,6423
0.125,1500,0.1,3257
0.125,1500,0.15,3284
0.125,1500,0.15,3408
0.125,1500,0.15,3532
0.125,1500,0.15,3656
0.125,1500,0.2,3310
0.125,1500,0.2,3955
0.125,1500,0.2,4601
0.125,1500,0.2,5247
0.125,1500,0.25,3336
0.125,1500,0.25,4503
0.125,1500,0.25,5670
0.125,1500,0.25,6838
0.125,1500,0.3,3362
0.125,1500,0.3,5051
0.125,1500,0.3,6740
0.125,1500,0.3,8429
0.125,2000,0.1,3020
0.125,2000,0.1,3607
0.125,2000,0.1,4194
0.125,2000,0.1,4781
0.125,2000,0.15,3265
0.125,2000,0.15,4241
0.125,2000,0.15,5218
0.125,2000,0.15,6194
0.125,2000,0.2,3510
0.125,2000,0.2,4876
0.125,2000,0.2,6242
0.125,2000,0.2,7608
0.125,2000,0.25,3755
0.125,2000,0.25,5510
0.125,2000,0.25,7266
0.125,2000,0.25,9021
0.125,2000,0.3,4000
0.125,2000,0.3,6145
0.125,2000,0.3,8290
0.125,2000,0.3,10435
0.125,2500,0.1,4354
0.125,2500,0.1,5926
0.125,2500,0.1,7498
0.125,2500,0.15,3246
0.125,2500,0.15,5075
0.125,2500,0.15,6904
0.125,2500,0.15,8733
0.125,2500,0.2,3709
0.125,2500,0.2,5796
0.125,2500,0.2,7883
0.125,2500,0.2,9969
0.125,2500,0.25,4173
0.125,2500,0.25,6517
0.125,2500,0.25,8861
0.125,2500,0.25,11205
0.125,2500,0.3,4637
0.125,2500,0.3,7238
0.125,2500,0.3,9839
0.125,2700,0.1,4653
0.125,2700,0.1,6618
0.125,2700,0.1,8584
0.125,2700,0.15,3238
0.125,2700,0.15,5408
0.125,2700,0.15,7579
0.125,2700,0.15,9749
0.125,2700,0.2,3789
0.125,2700,0.2,6164
0.125,2700,0.2,8539
0.125,2700,0.2,10914
0.125,2700,0.25,4341
0.125,2700,0.25,6920
0.125,2700,0.25,9499
0.125,2700,0.3,4892
0.125,2700,0.3,7676
0.125,2700,0.3,10459
0.15,1000,0.2,3072
0.15,1000,0.2,3219
0.15,1000,0.2,3367
0.15,1000,0.25,3621
0.15,1000,0.25,4320
0.15,1000,0.25,5019
0.15,1000,0.3,4171
0.15,1000,0.3,5421
0.15,1000,0.3,6672
0.15,1500,0.15,3100
0.15,1500,0.15,3454
0.15,1500,0.15,3809
0.15,1500,0.15,4163
0.15,1500,0.2,3317
0.15,1500,0.2,4090
0.15,1500,0.2,4864
0.15,1500,0.2,5638
0.15,1500,0.25,3534
0.15,1500,0.25,4727
0.15,1500,0.25,5920
0.15,1500,0.25,7113
0.15,1500,0.3,3751
0.15,1500,0.3,5363
0.15,1500,0.3,6975
0.15,1500,0.3,8587
0.15,2000,0.1,3664
0.15,2000,0.1,4489
0.15,2000,0.1,5314
0.15,2000,0.15,3274
0.15,2000,0.15,4386
0.15,2000,0.15,5499
0.15,2000,0.15,6611
0.15,2000,0.2,3710
0.15,2000,0.2,5109
0.15,2000,0.2,6509
0.15,2000,0.2,7908
0.15,2000,0.25,4145
0.15,2000,0.25,5832
0.15,2000,0.25,7519
0.15,2000,0.25,9206
0.15,2000,0.3,4581
