FGIN (kg/hr),FGIN_CO2MASSFRAC,SOLVENTIN (kg/hr),STRIPPER_PRESSURE (kPa),SOLVENTAMINECONC,SOLVENTCO2LOADING,CO2CAPTUREPERC,SRD (MJ/kg CO2)
2138.738837,0.192869,4989.161874,197.846835,0.337708,0.236674,73.301001,3.26989
2831.303128,0.203359,5218.52668,185.177875,0.323419,0.265806,47.687099,3.258048
2250.042011,0.195672,5374.956381,190.277618,0.290879,0.169974,82.254819,3.41642
2321.96774,0.196474,5398.925266,195.555524,0.310153,0.227942,69.251542,3.338586
2479.410419,0.200015,5601.551932,181.73308,0.289871,0.171372,75.799199,3.420519
2018.812227,0.203671,4590.495098,197.392743,0.346165,0.160278,90.484484,3.293884
2347.518978,0.19052,6887.28333,198.17394,0.334916,0.110817,99.981071,5.908682
2540.590783,0.209091,6762.761361,188.223945,0.291296,0.13769,93.007754,3.766593
2712.161713,0.19659,5487.985945,189.057198,0.344874,0.182447,77.016399,3.305744
2799.901781,0.183237,4627.6642,180.053567,0.31096,0.123006,74.480833,4.200733
2948.262564,0.17544,6248.465765,186.929616,0.306922,0.114444,96.519207,4.536806
2086.796808,0.178847,6152.605544,191.514051,0.323797,0.202693,98.934736,3.636405
2037.625956,0.206671,5289.35058,184.869491,0.348545,0.293569,61.092965,3.213896
2242.090771,0.199297,6315.843483,199.580191,0.317448,0.157267,99.329479,3.617917
2377.623889,0.204994,6635.715512,192.955561,0.339152,0.142293,99.806593,4.046672
2126.678555,0.208806,6862.834622,198.892553,0.299295,0.272172,72.108796,3.44298
2304.256133,0.197021,6170.447686,184.057717,0.322558,0.172811,96.14069,3.471971
2573.469285,0.177543,5777.090135,188.699809,0.318929,0.198608,82.40689,3.401435
2072.516721,0.173639,6306.418889,182.118848,0.344206,0.108836,99.983792,7.785684
2002.093156,0.202709,5991.794541,199.111401,0.307785,0.135833,99.957895,4.128677
2055.191547,0.192766,5461.173214,191.022049,0.284457,0.273471,62.435851,3.381983
2175.620722,0.18574,4520.580362,197.206778,0.303881,0.107072,93.846308,4.345458
2907.490193,0.181796,6275.134081,185.836287,0.343203,0.166188,90.835152,3.437841
2042.436403,0.184995,5870.942314,189.648913,0.303069,0.289156,67.629023,3.389437
2609.91167,0.175261,5314.884307,184.555975,0.309085,0.167119,82.382734,3.421181
2646.871547,0.184405,5849.881861,183.145883,0.332151,0.271634,61.235727,3.320019
2542.335159,0.198642,6953.150043,193.775875,0.325577,0.238967,78.375273,3.410113
2530.152931,0.177182,6998.670255,196.515308,0.33363,0.138342,99.947667,4.628598
2394.705061,0.203859,6009.811044,184.709814,0.31164,0.282933,57.505948,3.33933
2232.167732,0.179184,5044.26968,188.348176,0.281119,0.2852,53.79093,3.363199
2517.729356,0.198044,5546.456077,191.294667,0.345868,0.287836,55.134678,3.234023
2494.991172,0.174757,5522.144483,199.441528,0.292537,0.283435,55.565132,3.375717
2928.181575,0.186905,5181.723235,195.004093,0.316499,0.105149,82.831488,4.486932
2970.283505,0.193276,6974.783455,199.300279,0.349295,0.125894,99.549503,4.149997
2236.982049,0.186501,5705.731078,197.143467,0.329449,0.292267,62.991254,3.298196
2584.390754,0.178374,5125.975056,198.820081,0.349613,0.243937,66.877696,3.261627
2371.596874,0.191273,4794.538423,187.606558,0.30217,0.176912,72.602632,3.353218
2261.726008,0.18406,4887.244052,190.552953,0.340665,0.28005,59.585552,3.226987
2599.552602,0.180495,6649.624393,185.821216,0.334624,0.248085,78.731346,3.407544
2657.915327,0.173826,6485.296346,182.87923,0.32008,0.149091,99.264685,3.944894
2102.577311,0.183687,6199.841525,185.513499,0.330817,0.101782,99.985725,7.322455
